Item,Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
Soda (Can),Pizza,[],false,1084.0,2.52,2.52,2734.5,1.95,0.0,40.0,2732.55,219.71,0.0,0.0
Water (small),Pizza,[],false,304.0,1.99,1.99,604.96,0.0,0.0,7.96,604.96,48.74,0.0,0.0
Soda 2L,Pizza,[],false,4.0,3.99,3.99,15.96,0.0,0.0,3.99,15.96,1.32,0.0,0.0
Hot Honey,Pizza,[],false,227.0,1.99,1.99,451.73,0.3,0.0,0.0,451.43,36.44,0.0,0.0
Ranch,Pizza,[],false,724.0,0.99,0.99,716.76,0.0,0.0,11.88,716.76,58.46,0.0,0.0
Naga Dip,Pizza,[],false,277.0,1.99,1.99,551.23,0.45,0.0,3.98,550.78,44.55,0.0,0.0
Red Peppers Bags 3,Pizza,[],false,49.0,0.99,0.99,48.51,0.0,0.0,1.98,48.51,3.94,0.0,0.0
Parmesan Bags 3,Pizza,[],false,53.0,0.99,0.99,52.47,0.0,0.0,0.0,52.47,4.25,0.0,0.0
Side Olives,Pizza,[],false,12.0,0.99,0.99,11.88,0.0,0.0,0.0,11.88,0.96,0.0,0.0
Side Basil,Pizza,[],false,6.0,0.66,0.66,3.98,0.0,0.0,0.0,3.98,0.28,0.0,0.0
Side Jalapeno,Pizza,[],false,16.0,0.99,0.99,15.84,0.0,0.0,0.0,15.84,1.28,0.0,0.0
Side Garlic Mayo,Pizza,[],false,22.0,0.99,0.99,21.78,0.0,0.0,0.99,21.78,1.76,0.0,0.0
Marinara Sauce,Pizza,[],false,32.0,1.99,1.99,63.68,0.0,0.0,1.99,63.68,5.13,0.0,0.0
"14"" Pie",Pizza,[],false,1.0,12.00,12.00,12.0,0.0,0.0,60.0,12.0,0.99,0.0,0.0
"16"" Pie",Pizza,[],false,16.0,15.00,15.00,240.0,0.0,0.0,0.0,240.0,3.71,0.0,0.0
Side Cilantro,,[],false,4.0,0.87,0.87,3.47,0.0,0.0,0.0,3.47,0.27,0.0,0.0
Aged Parmesan,,[],false,13.0,1.99,1.99,25.87,0.0,0.0,0.0,25.87,2.1,0.0,0.0
